0.0000	0.0000	1.0000
0.1309	0.1305	0.9914
0.2618	0.2588	0.9659
0.3927	0.3827	0.9239
0.5236	0.5000	0.8660
0.6545	0.6088	0.7934
0.7854	0.7071	0.7071
0.9163	0.7934	0.6088
1.0472	0.8660	0.5000
1.1781	0.9239	0.3827
1.3090	0.9659	0.2588
1.4399	0.9914	0.1305
1.5708	1.0000	0.0000
1.7017	0.9914	-0.1305
1.8326	0.9659	-0.2588
1.9635	0.9239	-0.3827
2.0944	0.8660	-0.5000
2.2253	0.7934	-0.6088
2.3562	0.7071	-0.7071
2.4871	0.6088	-0.7934
2.6180	0.5000	-0.8660
2.7489	0.3827	-0.9239
2.8798	0.2588	-0.9659
3.0107	0.1305	-0.9914
3.1416	0.0000	-1.0000
3.2725	-0.1305	-0.9914
3.4034	-0.2588	-0.9659
3.5343	-0.3827	-0.9239
3.6652	-0.5000	-0.8660
3.7961	-0.6088	-0.7934
3.9270	-0.7071	-0.7071
4.0579	-0.7934	-0.6088
4.1888	-0.8660	-0.5000
4.3197	-0.9239	-0.3827
4.4506	-0.9659	-0.2588
4.5815	-0.9914	-0.1305
4.7124	-1.0000	-0.0000
4.8433	-0.9914	0.1305
4.9742	-0.9659	0.2588
5.1051	-0.9239	0.3827
5.2360	-0.8660	0.5000
5.3669	-0.7934	0.6088
5.4978	-0.7071	0.7071
5.6287	-0.6088	0.7934
5.7596	-0.5000	0.8660
5.8905	-0.3827	0.9239
6.0214	-0.2588	0.9659
6.1523	-0.1305	0.9914
6.2832	-0.0000	1.0000
